Rank,Change (monthly),Account name,Owner,Followers (millions),Activity,Country
1.,,@katyperry,Katy Perry,110,Musician,USA
2.,,@justinbieber,Justin Bieber,107,Musician,CAN
3.,,@BarackObama,Barack Obama,103,Former U.S. President,USA
4.,,@rihanna,Rihanna,89,Musician,BAR
5.,,@taylorswift13,Taylor Swift,86,Musician,USA
6.,,@ladygaga,Lady Gaga,79,Musician,USA
7.,,@TheEllenShow,Ellen DeGeneres,78,Comedian,USA
8.,,@Cristiano,Cristiano Ronaldo,74,Footballer,POR
9.,,@YouTube,YouTube,72,Online video platform,USA
10.,,@jtimberlake,Justin Timberlake,66,Musician and actor,USA
11.,,@twitter,Twitter,63,Social media platform,USA
12.,,@KimKardashian,Kim Kardashian West,60,Television personality,USA
13.,,@britneyspears,Britney Spears,58,Musician,USA
14.,,@ArianaGrande,Ariana Grande,58,Musician,USA
15.,,@ddlovato,Demi Lovato,57,Musician,USA
16.,,@selenagomez,Selena Gomez,57,Musician and actress,USA
17.,,@cnnbrk,CNN Breaking News,55,News channel,USA
18.,,@realDonaldTrump,Donald Trump,53,Current U.S. President,USA
19.,,@shakira,Shakira,52,Musician,COL
20.,,@jimmyfallon,Jimmy Fallon,51,Comedian,USA
21.,,@BillGates,Bill Gates,46,Businessman and philanthropist,USA
22.,,@JLo,Jennifer Lopez,45,Musician and actress,USA
23.,,@narendramodi,Narendra Modi,43,Current Prime Minister of India,IND
24.,,@BrunoMars,Bruno Mars,43,Musician,USA
25.,,@Oprah,Oprah Winfrey,43,Television personality and businesswoman,USA
26.,,@nytimes,The New York Times,42,Newspaper,USA
27.,,@KingJames,LeBron James,42,Basketball player,USA
28.,,@MileyCyrus,Miley Cyrus,41,Musician and actress,USA
29.,,@CNN,CNN,41,News channel,USA
30.,,@NiallOfficial,Niall Horan,40,Musician,IRL
31.,,@neymarjr,Neymar,40,Footballer,BRA
32.,,@instagram,Instagram,39,Social media platform,USA
33.,,@BBCBreaking,BBC Breaking News,38,News channel,GBR
34.,,@Drake,Drake,37,Rapper,CAN
35.,,@iamsrk,Shah Rukh Khan,36,Actor and producer,IND
36.,,@SportsCenter,SportsCenter,36,Sports news,USA
37.,,@KevinHart4real,Kevin Hart,35,Comedian and actor,USA
38.,,@SrBachchan,Amitabh Bachchan,35,Actor,IND
39.,,@LilTunechi,Lil Wayne,34,Rapper,USA
40.,,@espn,ESPN,34,Sports channel,USA
41.,,@wizkhalifa,Wiz Khalifa,34,Rapper,USA
42.,,@BeingSalmanKhan,Salman Khan,34,Actor and producer,IND
43.,,@Louis_Tomlinson,Louis Tomlinson,34,Musician,GBR
44.,,@Pink,Pink,33,Musician,USA
45.,,@LiamPayne,Liam Payne,33,Musician,GBR
46.,,@Harry_Styles,Harry Styles,33,Musician,GBR
47.,,@onedirection,One Direction,32,Band,GBR IRL
48.,,@aliciakeys,Alicia Keys,31,Musician,USA
49.,,@realmadrid,Real Madrid C.F.,31,Football club,ESP
50.,,@KAKA,KakÃ¡,30,Footballer,BRA
